Timestamp,Name,Value
2.765341,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gamma/max",255
2.469174,"NT:/SmartDashboard/Shooter/Feeder/Tuning Speed",2
2.779245,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_sharpness/min",0
3.541964,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/D",0.3
2.713956,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_brightness/max",127
3.541954,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/I",0
2.331131,"NT:/SmartDashboard/Intake/Speed Filtering",0.08
3.54194,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/P",2.7
2.729141,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/brightness/default",33
2.729043,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/brightness/max",100
2.388617,"NT:/SmartDashboard/Pump/Compressor Enabled",false
2.834396,"NT:/SmartDashboard/Drivetrain/Alignment/Speed Adj RC",0.1
2.717453,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_brightness/step",1
2.766296,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/power_line_frequency/default",1
2.766208,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/power_line_frequency/max",2
3.541033,"NT:/SmartDashboard/Drivetrain/Alignment/Angle/Tuning PD",false
2.431591,"NT:/SmartDashboard/Shooter/Shooter/Tuning PID",false
2.818495,"NT:/SmartDashboard/Shooter/Feeder Multipler",0.9
2.783585,"NT:/CameraPublisher/USB Camera 0/description","USB Camera"
2.765718,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_gain/default",0
2.758431,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_hue/default",0
2.758292,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_hue/max",40
1.160455,"NT:/FMSInfo/EventName",""
2.763917,"NT:/SmartDashboard/Climber/Slow Speed",0.8
2.757013,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/saturation/step",1
1.727764,"NT:/SmartDashboard/Enable Warnings",true
3.598372,"NT:/SmartDashboard/Autonomous/.controllable",true
2.779834,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/backlight_compensation/min",0
2.702893,"NT:/SmartDashboard/Driver Settings/Speed Power",2
2.756747,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_saturation/default",64
2.756649,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_saturation/max",128
2.330999,"NT:/SmartDashboard/Intake/Motor Speed",1
2.765234,"NT:/CameraPublisher/USB Camera 0/Property/gamma",100
1.160717,"NT:/FMSInfo/MatchNumber",0
2.756966,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/saturation/max",100
2.780829,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_exposure_absolute/max",5000
3.541912,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/Tuning Speed",0.7
2.765949,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gain/step",1
2.77952,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/sharpness/min",0
2.779665,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/sharpness/default",20
3.594996,"NT:/SmartDashboard/Autonomous/active","5 Ball [DEFAULT]"
2.780876,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_exposure_absolute/step",1
2.818342,"NT:/SmartDashboard/Shooter/Fender RPM",2500
2.765667,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_gain/step",1
3.59853,"NT:/SmartDashboard/Autonomous/.name","Autonomous"
2.702976,"NT:/SmartDashboard/Driver Settings/Turn Power",1
2.756698,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_saturation/step",1
2.77899,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/white_balance_temperature/max",6500
1.16034,"NT:/FMSInfo/GameSpecificMessage",""
2.522477,"NT:/SmartDashboard/Limelight/Max Velocity Error",0.07619999999999999
2.469248,"NT:/SmartDashboard/Shooter/Feeder/D",0.000275
2.469238,"NT:/SmartDashboard/Shooter/Feeder/I",0
2.469222,"NT:/SmartDashboard/Shooter/Feeder/P",0.004
2.765582,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_gain/min",0
1.161291,"NT:/FMSInfo/FMSControlData",0
2.755184,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_contrast/step",1
2.676582,"NT:/SmartDashboard/Driver Settings/Stall Detection",false
2.520327,"NT:/SmartDashboard/Limelight/Pad Distance",217
2.511225,"NT:/SmartDashboard/Limelight/Ring Yaw",6.50694
2.758572,"NT:/CameraPublisher/USB Camera 0/Property/hue",50
2.51131,"NT:/SmartDashboard/Limelight/Pad Yaw",5
2.818136,"NT:/SmartDashboard/Shooter/Pad RPM",3650
2.755452,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/contrast/max",100
2.78032,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_auto/max",3
2.780106,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/backlight_compensation/default",1
2.781069,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_absolute/min",0
